,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,3.0
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,4.0
81,4.0
82,4.0
83,4.0
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.0
99,4.0
100,5.0
101,5.0
102,5.0
103,5.0
104,5.0
105,5.0
106,5.0
107,5.0
108,5.0
109,5.0
110,5.0
111,5.0
112,5.0
113,5.0
114,5.0
115,5.0
116,5.0
117,5.0
118,5.0
119,5.0
120,6.0
121,6.0
122,6.0
123,6.0
124,6.0
125,6.0
126,6.0
127,6.0
128,6.0
129,6.0
130,6.0
131,6.0
132,6.0
133,6.0
134,6.0
135,6.0
136,6.0
137,6.0
138,6.0
139,6.0
140,7.0
141,7.0
142,7.0
143,7.0
144,7.0
145,7.0
146,7.0
147,7.0
148,7.0
149,7.0
150,7.0
151,7.0
152,7.0
153,7.0
154,7.0
155,7.0
156,7.0
157,7.0
158,7.0
159,7.0
160,8.0
161,8.0
162,8.0
163,8.0
164,8.0
165,8.0
166,8.0
167,8.0
168,8.0
169,8.0
170,8.0
171,8.0
172,8.0
173,8.0
174,8.0
175,8.0
176,8.0
177,8.0
178,8.0
179,8.0
180,9.0
181,9.0
182,9.0
183,9.0
184,9.0
185,9.0
186,9.0
187,9.0
188,9.0
189,9.0
190,9.0
191,9.0
192,9.0
193,9.0
194,9.0
195,9.0
196,9.0
197,9.0
198,9.0
199,9.0
200,10.0
201,10.0
202,10.0
203,10.0
204,10.0
205,10.0
206,10.0
207,10.0
208,10.0
209,10.0
210,10.0
211,10.0
212,10.0
213,10.0
214,10.0
215,10.0
216,10.0
217,10.0
218,10.0
219,10.0
220,11.0
221,11.0
222,11.0
223,11.0
224,11.0
225,11.0
226,11.0
227,11.0
228,11.0
229,11.0
230,11.0
231,11.0
232,11.0
233,11.0
234,11.0
235,11.0
236,11.0
237,11.0
238,11.0
239,11.0
240,12.0
241,12.0
242,12.0
243,12.0
244,12.0
245,12.0
246,12.0
247,12.0
248,12.0
249,12.0
250,12.0
251,12.0
252,12.0
253,12.0
254,12.0
255,12.0
256,12.0
257,12.0
258,12.0
259,12.0
260,13.0
261,13.0
262,13.0
263,13.0
264,13.0
265,13.0
266,13.0
267,13.0
268,13.0
269,13.0
270,13.0
271,13.0
272,13.0
273,13.0
274,13.0
275,13.0
276,13.0
277,13.0
278,13.0
279,13.0
280,14.0
281,14.0
282,14.0
283,14.0
284,14.0
285,14.0
286,14.0
287,14.0
288,14.0
289,14.0
290,14.0
291,14.0
292,14.0
293,14.0
294,14.0
295,14.0
296,14.0
297,14.0
298,14.0
299,14.0
300,15.0
301,15.0
302,15.0
303,15.0
304,15.0
305,15.0
306,15.0
307,15.0
308,15.0
309,15.0
310,15.0
311,15.0
312,15.0
313,15.0
314,15.0
315,15.0
316,15.0
317,15.0
318,15.0
319,15.0
